Bus,BasekV,Node1,Magnitude1,Angle1,pu1,Node2,Magnitude2,Angle2,pu2,Node3,Magnitude3,Angle3,pu3
"X_62298_1",0.415,2,235.779,-155.3,0.98405,0,0,0,0,0,0,0,0
"X_62298_2",0.415,2,235.779,-155.3,0.98405,0,0,0,0,0,0,0,0
"X_62298_3",0.415,2,235.779,-155.3,0.98405,0,0,0,0,0,0,0,0
"X_39742",0.415,3,235.908,85.0,0.98459,0,0,0,0,0,0,0,0
"X_39742_1",0.415,3,235.616,85.0,0.98337,0,0,0,0,0,0,0,0
"X_58415",0.415,3,236.785,85.0,0.98825,0,0,0,0,0,0,0,0
"X_58415_1",0.415,3,236.466,85.0,0.98692,0,0,0,0,0,0,0,0
"X_39771",0.415,2,232.373,-155.4,0.96984,0,0,0,0,0,0,0,0
"X_39771_1",0.415,2,231.869,-155.4,0.96773,0,0,0,0,0,0,0,0
"X_94740",0.415,2,232.021,-155.8,0.96837,0,0,0,0,0,0,0,0
"X_94740_1",0.415,2,231.558,-155.8,0.96643,0,0,0,0,0,0,0,0
"X_94740_2",0.415,2,231.558,-155.8,0.96643,0,0,0,0,0,0,0,0
"X_94740_3",0.415,2,231.558,-155.8,0.96643,0,0,0,0,0,0,0,0
"X_94740_4",0.415,2,231.558,-155.8,0.96643,0,0,0,0,0,0,0,0
"X_62310",0.415,3,234.956,84.7,0.98062,0,0,0,0,0,0,0,0
"X_62310_1",0.415,3,234.331,84.7,0.97801,0,0,0,0,0,0,0,0
"X_62310_2",0.415,3,234.331,84.7,0.97801,0,0,0,0,0,0,0,0
"X_62310_3",0.415,3,234.331,84.7,0.97801,0,0,0,0,0,0,0,0
"X_14848",0.415,3,240.691,85.5,1.0046,0,0,0,0,0,0,0,0
"X_14848_1",0.415,3,240.407,85.5,1.0034,0,0,0,0,0,0,0,0
"X_62243",0.415,3,235.646,84.8,0.9835,0,0,0,0,0,0,0,0
"X_62243_1",0.415,3,234.965,84.8,0.98065,0,0,0,0,0,0,0,0
"X_62243_2",0.415,3,234.965,84.8,0.98065,0,0,0,0,0,0,0,0
"X_62243_3",0.415,3,234.965,84.8,0.98065,0,0,0,0,0,0,0,0
"X_62243_4",0.415,3,234.965,84.8,0.98065,0,0,0,0,0,0,0,0
"X_39749",0.415,3,233.869,84.7,0.97608,0,0,0,0,0,0,0,0
"X_39749_1",0.415,3,232.96,84.7,0.97229,0,0,0,0,0,0,0,0
"X_62302",0.415,2,229.095,-156.0,0.95616,0,0,0,0,0,0,0,0
"X_62302_1",0.415,2,228.26,-156.0,0.95267,0,0,0,0,0,0,0,0
"X_62302_2",0.415,2,228.26,-156.0,0.95267,0,0,0,0,0,0,0,0
"X_62302_3",0.415,2,228.26,-156.0,0.95267,0,0,0,0,0,0,0,0
"X_62302_4",0.415,2,228.26,-156.0,0.95267,0,0,0,0,0,0,0,0
"X_39616",0.415,2,234.957,-155.4,0.98062,0,0,0,0,0,0,0,0
"X_39616_1",0.415,2,234.224,-155.4,0.97756,0,0,0,0,0,0,0,0
"X_39616_2",0.415,2,234.224,-155.4,0.97756,0,0,0,0,0,0,0,0
"X_39616_3",0.415,2,234.224,-155.4,0.97756,0,0,0,0,0,0,0,0
"X_802",0.415,2,237.015,-155.1,0.98921,0,0,0,0,0,0,0,0
"X_802_1",0.415,2,236.507,-155.0,0.98709,0,0,0,0,0,0,0,0
"X_802_2",0.415,2,236.507,-155.0,0.98709,0,0,0,0,0,0,0,0
"X_802_3",0.415,2,236.507,-155.0,0.98709,0,0,0,0,0,0,0,0
"X_786",0.415,2,237.777,-154.9,0.99239,0,0,0,0,0,0,0,0
"X_786_1",0.415,2,237.306,-154.9,0.99043,0,0,0,0,0,0,0,0
"X_786_2",0.415,2,237.306,-154.9,0.99043,0,0,0,0,0,0,0,0
"X_39766",0.415,3,237.327,85.1,0.99051,0,0,0,0,0,0,0,0
"X_39766_1",0.415,3,236.691,85.1,0.98786,0,0,0,0,0,0,0,0
"X_8168",0.415,2,238.13,-154.7,0.99387,0,0,0,0,0,0,0,0
"X_8168_1",0.415,2,237.688,-154.7,0.99202,0,0,0,0,0,0,0,0
"X_8168_2",0.415,2,237.688,-154.7,0.99202,0,0,0,0,0,0,0,0
"X_8156",0.415,3,238.614,85.2,0.99588,0,0,0,0,0,0,0,0
"X_8156_1",0.415,3,237.997,85.2,0.99331,0,0,0,0,0,0,0,0
"X_8156_2",0.415,3,237.997,85.2,0.99331,0,0,0,0,0,0,0,0
"X_8156_3",0.415,3,237.997,85.2,0.99331,0,0,0,0,0,0,0,0
"X_58425",0.415,1,235.889,-35.0,0.98451,0,0,0,0,0,0,0,0
"X_58425_1",0.415,1,234.623,-35.0,0.97923,0,0,0,0,0,0,0,0
"X_39760",0.415,2,229.472,-155.9,0.95773,0,0,0,0,0,0,0,0
"X_39760_1",0.415,2,228.79,-155.9,0.95488,0,0,0,0,0,0,0,0
"X_39760_2",0.415,2,228.79,-155.9,0.95488,0,0,0,0,0,0,0,0
"X_39760_3",0.415,2,228.79,-155.9,0.95488,0,0,0,0,0,0,0,0
"X_14875",0.415,1,238.872,-34.2,0.99696,0,0,0,0,0,0,0,0
"X_14875_1",0.415,1,238.248,-34.2,0.99436,0,0,0,0,0,0,0,0
"X_62248",0.415,3,235.058,84.7,0.98104,0,0,0,0,0,0,0,0
"X_62248_1",0.415,3,234.04,84.7,0.9768,0,0,0,0,0,0,0,0
"X_62248_2",0.415,3,234.04,84.7,0.9768,0,0,0,0,0,0,0,0
"X_63641",0.415,2,237.769,-154.9,0.99236,0,0,0,0,0,0,0,0
"X_63641_1",0.415,2,237.208,-154.9,0.99002,0,0,0,0,0,0,0,0
"X_63641_2",0.415,2,237.208,-154.9,0.99002,0,0,0,0,0,0,0,0
"X_814",0.415,1,237.524,-34.4,0.99133,0,0,0,0,0,0,0,0
"X_814_1",0.415,1,236.793,-34.4,0.98828,0,0,0,0,0,0,0,0
"X_814_2",0.415,1,236.793,-34.4,0.98828,0,0,0,0,0,0,0,0
"X_814_3",0.415,1,236.793,-34.4,0.98828,0,0,0,0,0,0,0,0
"X_15004",0.415,2,229.657,-155.8,0.9585,0,0,0,0,0,0,0,0
"X_15004_1",0.415,2,229.032,-155.8,0.95589,0,0,0,0,0,0,0,0
"X_15004_2",0.415,2,229.032,-155.8,0.95589,0,0,0,0,0,0,0,0
"X_15004_3",0.415,2,229.032,-155.8,0.95589,0,0,0,0,0,0,0,0
"X_1103251",0.415,3,241.191,85.6,1.0066,0,0,0,0,0,0,0,0
"X_1103251_1",0.415,3,241.039,85.6,1.006,0,0,0,0,0,0,0,0
"X_58413",0.415,1,235.519,-35.0,0.98297,0,0,0,0,0,0,0,0
"X_58413_1",0.415,1,234.69,-35.0,0.97951,0,0,0,0,0,0,0,0
"X_39623",0.415,2,233.748,-155.6,0.97557,0,0,0,0,0,0,0,0
"X_39623_1",0.415,2,233.097,-155.6,0.97286,0,0,0,0,0,0,0,0
"X_39623_2",0.415,2,233.097,-155.6,0.97286,0,0,0,0,0,0,0,0
"X_39623_3",0.415,2,233.097,-155.6,0.97286,0,0,0,0,0,0,0,0
"X_14863",0.415,1,238.705,-34.3,0.99626,0,0,0,0,0,0,0,0
"X_14863_1",0.415,1,238.051,-34.3,0.99353,0,0,0,0,0,0,0,0
"X_94735",0.415,2,233.803,-155.5,0.9758,0,0,0,0,0,0,0,0
"X_94735_1",0.415,2,233.278,-155.5,0.97361,0,0,0,0,0,0,0,0
"X_94735_2",0.415,2,233.278,-155.5,0.97361,0,0,0,0,0,0,0,0
"X_63657",0.415,2,240.202,-154.6,1.0025,0,0,0,0,0,0,0,0
"X_63657_1",0.415,2,239.876,-154.6,1.0011,0,0,0,0,0,0,0,0
"X_89780",0.415,3,238.885,85.2,0.99702,0,0,0,0,0,0,0,0
"X_89780_1",0.415,3,238.52,85.3,0.99549,0,0,0,0,0,0,0,0
"X_39759",0.415,2,230.596,-155.7,0.96242,0,0,0,0,0,0,0,0
"X_39759_1",0.415,2,229.9,-155.7,0.95952,0,0,0,0,0,0,0,0
"X_39759_2",0.415,2,229.9,-155.7,0.95952,0,0,0,0,0,0,0,0
"X_39759_3",0.415,2,229.9,-155.7,0.95952,0,0,0,0,0,0,0,0
"X_806",0.415,2,236.236,-155.2,0.98596,0,0,0,0,0,0,0,0
"X_806_1",0.415,2,235.5,-155.2,0.98289,0,0,0,0,0,0,0,0
"X_806_2",0.415,2,235.5,-155.2,0.98289,0,0,0,0,0,0,0,0
"X_806_3",0.415,2,235.5,-155.2,0.98289,0,0,0,0,0,0,0,0
"X_806_4",0.415,2,235.5,-155.2,0.98289,0,0,0,0,0,0,0,0
"X_94732",0.415,3,239.274,85.2,0.99864,0,0,0,0,0,0,0,0
"X_94732_1",0.415,3,238.64,85.2,0.99599,0,0,0,0,0,0,0,0
